n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
394,1.73434e+07,2.10722e+06,1.472e+07,1.59312e+07,1.68285e+07,1.81875e+07,2.394e+07
396,1.71782e+07,1.34854e+06,1.4865e+07,1.63938e+07,1.68925e+07,1.7874e+07,2.0079e+07
398,1.61459e+07,702280,1.4855e+07,1.5508e+07,1.6271e+07,1.66668e+07,1.7192e+07
400,1.70889e+07,1.11458e+06,1.5045e+07,1.6414e+07,1.7194e+07,1.77382e+07,1.9689e+07
402,1.8527e+07,4.24385e+06,1.5527e+07,1.61232e+07,1.6845e+07,2.0177e+07,3.5673e+07
404,1.89279e+07,1.49897e+06,1.6652e+07,1.80012e+07,1.8728e+07,1.91715e+07,2.3574e+07
406,1.85103e+07,2.30831e+06,1.6001e+07,1.69195e+07,1.83385e+07,1.89338e+07,2.625e+07
408,1.74141e+07,1.05625e+06,1.623e+07,1.6682e+07,1.69795e+07,1.8203e+07,1.9678e+07
410,1.87382e+07,1.33464e+06,1.6751e+07,1.79778e+07,1.86785e+07,1.9288e+07,2.2824e+07
412,1.93281e+07,1.01999e+06,1.7872e+07,1.8648e+07,1.9315e+07,1.96678e+07,2.376e+07
414,2.05602e+07,2.41753e+06,1.7572e+07,1.9166e+07,1.99205e+07,2.1105e+07,2.9567e+07
416,2.06156e+07,1.71684e+06,1.8807e+07,1.9575e+07,2.03575e+07,2.0891e+07,2.6431e+07
418,2.05456e+07,907397,1.8932e+07,1.96862e+07,2.07855e+07,2.12405e+07,2.2052e+07
420,2.11867e+07,1.93637e+06,1.9264e+07,1.98008e+07,2.1144e+07,2.1567e+07,2.8993e+07
422,2.31752e+07,3.34003e+06,1.9552e+07,2.1381e+07,2.22995e+07,2.344e+07,3.4859e+07
424,2.15035e+07,1.29266e+06,1.9245e+07,2.0544e+07,2.1571e+07,2.23812e+07,2.5293e+07
426,2.25487e+07,2.3965e+06,1.9797e+07,2.12018e+07,2.2221e+07,2.29222e+07,3.1255e+07
428,2.34421e+07,1.25086e+06,2.119e+07,2.2812e+07,2.3274e+07,2.39255e+07,2.6974e+07
430,2.38271e+07,1.73541e+06,2.0575e+07,2.29155e+07,2.36915e+07,2.46462e+07,2.8382e+07
432,2.33814e+07,3.27865e+06,2.0112e+07,2.18378e+07,2.3123e+07,2.38045e+07,3.9136e+07
434,2.34661e+07,1.58985e+06,2.0791e+07,2.24678e+07,2.337e+07,2.39128e+07,2.7859e+07
436,2.49806e+07,1.98431e+06,2.208e+07,2.36918e+07,2.456e+07,2.62275e+07,3.0395e+07
438,2.43396e+07,1.61602e+06,2.1582e+07,2.35552e+07,2.4312e+07,2.50925e+07,2.8898e+07
440,2.4601e+07,2.39009e+06,2.1779e+07,2.33225e+07,2.4555e+07,2.48678e+07,3.3307e+07
442,2.49342e+07,1.62411e+06,2.2516e+07,2.41205e+07,2.4485e+07,2.55758e+07,2.9322e+07
444,2.38998e+07,1.42228e+06,2.1985e+07,2.27848e+07,2.3723e+07,2.49165e+07,2.7057e+07
446,2.75386e+07,4.7495e+06,2.2157e+07,2.4343e+07,2.60205e+07,2.9405e+07,4.3354e+07
448,3.03569e+07,4.46708e+06,2.4167e+07,2.74605e+07,2.96965e+07,3.27108e+07,4.6437e+07
450,3.07168e+07,4.15041e+06,2.4264e+07,2.7351e+07,2.9859e+07,3.3654e+07,3.9354e+07
452,2.95005e+07,3.45538e+06,2.3399e+07,2.68528e+07,2.92565e+07,3.2916e+07,3.6344e+07
454,2.84822e+07,2.82262e+06,2.3584e+07,2.70635e+07,2.82105e+07,2.9239e+07,3.8345e+07
456,3.08862e+07,8.55361e+06,2.3602e+07,2.53932e+07,2.9894e+07,3.3653e+07,7.155e+07
458,3.50446e+07,5.54687e+06,2.7103e+07,3.13332e+07,3.4046e+07,3.73098e+07,5.1828e+07
460,3.45718e+07,7.19589e+06,2.4366e+07,2.92738e+07,3.1828e+07,3.8795e+07,5.1436e+07
462,3.06158e+07,6.24657e+06,2.5057e+07,2.59015e+07,2.8779e+07,3.2291e+07,5.2775e+07
464,2.77867e+07,3.74842e+06,2.4965e+07,2.54452e+07,2.6849e+07,2.83158e+07,4.517e+07
466,3.26617e+07,5.96485e+06,2.5343e+07,2.67265e+07,3.2959e+07,3.76968e+07,4.3149e+07
468,3.98245e+07,7.1298e+06,2.8801e+07,3.39588e+07,3.8798e+07,4.63262e+07,5.1077e+07
470,4.52893e+07,6.54019e+06,3.0625e+07,4.3846e+07,4.5329e+07,4.84488e+07,6.2583e+07
472,3.9827e+07,6.05248e+06,2.6873e+07,3.64582e+07,4.1649e+07,4.37048e+07,5.139e+07
474,4.23306e+07,5.06508e+06,3.2586e+07,3.90942e+07,4.19555e+07,4.49395e+07,5.8877e+07
476,3.58248e+07,6.58833e+06,2.7647e+07,3.0589e+07,3.43925e+07,4.0279e+07,5.4867e+07
478,4.15963e+07,3.9697e+06,3.2466e+07,3.87635e+07,4.20585e+07,4.4767e+07,4.746e+07
480,3.37335e+07,4.75111e+06,2.7436e+07,2.96172e+07,3.31615e+07,3.6101e+07,4.4106e+07
482,3.32163e+07,3.98322e+06,2.8122e+07,3.04875e+07,3.19745e+07,3.5171e+07,4.4113e+07
484,3.57549e+07,6.04977e+06,2.8399e+07,2.9499e+07,3.7326e+07,4.00478e+07,4.5393e+07
486,3.58645e+07,9.52185e+06,2.8558e+07,3.18208e+07,3.55535e+07,3.7216e+07,8.4665e+07
488,3.67977e+07,3.94756e+06,3.1068e+07,3.45008e+07,3.64305e+07,3.79182e+07,4.6719e+07
490,3.23155e+07,2.62718e+06,2.9431e+07,3.04352e+07,3.1539e+07,3.32378e+07,4.2142e+07
492,3.37081e+07,3.44129e+06,3.0015e+07,3.10165e+07,3.3602e+07,3.48888e+07,4.4949e+07
494,3.43371e+07,2.83968e+06,3.0579e+07,3.25145e+07,3.4189e+07,3.53688e+07,4.2371e+07
496,3.28896e+07,1.57015e+06,3.03e+07,3.17315e+07,3.268e+07,3.37568e+07,3.5709e+07
498,3.44343e+07,2.08356e+06,3.2008e+07,3.2995e+07,3.41395e+07,3.56092e+07,4.2353e+07
500,3.56823e+07,4.69002e+06,3.1928e+07,3.3265e+07,3.45845e+07,3.66875e+07,5.9031e+07
502,3.45194e+07,1.56168e+06,3.1916e+07,3.3627e+07,3.46215e+07,3.5811e+07,3.7485e+07
504,3.73824e+07,3.1795e+06,3.242e+07,3.50782e+07,3.7081e+07,3.8948e+07,4.5102e+07
506,4.20223e+07,6.35444e+06,3.3959e+07,3.8508e+07,4.04375e+07,4.36105e+07,6.7793e+07
508,3.61432e+07,2.92758e+06,3.2898e+07,3.41272e+07,3.53545e+07,3.72092e+07,4.4898e+07
510,3.6843e+07,2.01024e+06,3.3681e+07,3.51468e+07,3.66725e+07,3.77978e+07,4.1459e+07
512,3.77833e+07,4.33723e+06,3.4179e+07,3.5633e+07,3.75345e+07,3.87188e+07,5.9569e+07
